| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseKeyedPooledObjectFactory.java:31:23:31:50               | BaseKeyedPooledObjectFactory                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseKeyedPooledObjectFactory.java:31:23:31:50               | BaseObject                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObject.java:24:23:24:32                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObject.java:33:16:33:33                                 | toString                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObject.java:27:19:27:26                                 | toString                                    | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                                                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:29:23:29:36                             | BaseObjectPool                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:29:23:29:36                             | BaseObject                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObject.java:24:23:24:32                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:40:15:40:49                             | addObject                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:39:17:39:25                             | UnsupportedOperationException               | file:///modules/java.base/java/lang/UnsupportedOperationException.class:0:0:0:0                                                                                                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:50:13:50:22                             | assertOpen                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:49:26:49:35                             | isClosed                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:106:26:106:33                             |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:51:19:51:60                             | assertOpen                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:49:26:49:35                             | IllegalStateException                       | file:///modules/java.base/java/lang/IllegalStateException.class:0:0:0:0                                                                                                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:65:15:65:49                             | clear                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:64:17:64:21                             | UnsupportedOperationException               | file:///modules/java.base/java/lang/UnsupportedOperationException.class:0:0:0:0                                                                                                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:115:9:115:33                            | toStringAppendFields                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:114:20:114:39                           | append                                      | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                                                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:116:9:116:30                            | toStringAppendFields                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObjectPool.java:114:20:114:39                           | append                                      | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                                                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:31:23:31:45                    | BasePooledObjectFactory                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:31:23:31:45                    | BaseObject                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObject.java:24:23:24:32                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:63:16:63:29                    | makeObject                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:62:28:62:37                    | wrap                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:91:37:91:40                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:63:21:63:28                    | makeObject                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:62:28:62:37                    | create                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:51:23:51:28                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/DestroyMode.java:29:5:29:10                                 | <clinit>                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/DestroyMode.java:26:13:26:23                                | DestroyMode                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/DestroyMode.java:26:13:26:23                                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/DestroyMode.java:32:5:32:13                                 | <clinit>                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/DestroyMode.java:26:13:26:23                                | DestroyMode                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/DestroyMode.java:26:13:26:23                                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/DestroyMode.java:26:13:26:23                                | DestroyMode                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/DestroyMode.java:26:13:26:23                                | Enum                                        | file:///modules/java.base/java/lang/Enum.class:0:0:0:0                                                                                                                                       |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:96:34:96:48                            | addObjects0                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:91:18:91:28                            | iterator                                    | file:///modules/java.base/java/util/Collection.class:0:0:0:0                                                                                                                                 |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:94:19:94:71                            | addObjects0                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:91:18:91:28                            | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:97:16:97:29                            | addObjects0                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:91:18:91:28                            | hasNext                                     | file:///modules/java.base/java/util/Iterator.class:0:0:0:0                                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:98:13:98:43                            | addObjects0                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:91:18:91:28                            | addObjects1                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:111:18:111:28                            |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:98:25:98:35                            | addObjects0                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:91:18:91:28                            | next                                        | file:///modules/java.base/java/util/Iterator.class:0:0:0:0                                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:114:19:114:70                          | addObjects1                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:111:18:111:28                          | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:117:13:117:26                          | addObjects1                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:111:18:111:28                          | addObject                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:77:10:77:18                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:249:9:249:35                           | invalidateObject1                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:247:18:247:34                          | invalidateObject0                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:228:10:228:26                            |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedPooledObjectFactory.java:102:9:102:30                  | destroyObject1                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedPooledObjectFactory.java:100:18:100:31                 | destroyObject0                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedPooledObjectFactory.java:85:10:85:23                     |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/ObjectPool.java:80:13:80:23                                 | addObjects                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/ObjectPool.java:78:18:78:27                                 | addObject                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/ObjectPool.java:69:10:69:18                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/ObjectPool.java:174:9:174:30                                | invalidateObject1                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/ObjectPool.java:173:18:173:34                               | invalidateObject0                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/ObjectPool.java:157:10:157:26                                 |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:62:16:62:28                                  | ErodingFactor                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:62:16:62:28                                  | Object                                      | file:///modules/java.base/java/lang/Object.class:0:0:0:0                                                                                                                                     |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:65:21:65:46                                  | ErodingFactor                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:62:16:62:28                                  | currentTimeMillis                           | file:///modules/java.base/java/lang/System.class:0:0:0:0                                                                                                                                     |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:96:30:96:49                                  | update                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:95:21:95:26                                  | max                                         | file:///modules/java.base/java/lang/Math.class:0:0:0:0                                                                                                                                       |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:97:33:97:65                                  | update                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:95:21:95:26                                  | max                                         | file:///modules/java.base/java/lang/Math.class:0:0:0:0                                                                                                                                       |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:127:16:127:37                                | ErodingKeyedObjectPool                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:127:16:127:37                                | Object                                      | file:///modules/java.base/java/lang/Object.class:0:0:0:0                                                                                                                                     |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:130:23:130:71                                | ErodingKeyedObjectPool                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:127:16:127:37                                | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:138:20:138:83                                | ErodingKeyedObjectPool0                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:136:46:136:68                                | ErodingKeyedObjectPool<>                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/PoolUtils$ErodingKeyedObjectPool.class:0:0:0:0               |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:138:58:138:82                                | ErodingKeyedObjectPool0                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:136:46:136:68                                | ErodingFactor                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:62:16:62:28                                    |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:153:13:153:36                                | addObject                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:151:21:151:29                                | addObject                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:160:20:160:46                                | borrowObject                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:158:18:158:29                                | borrowObject                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:165:13:165:30                                | clear0                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:164:21:164:26                                | clear0                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:170:13:170:33                                | clear1                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:169:21:169:26                                | clear1                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:177:17:177:33                                | close                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:175:21:175:25                                | close                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:203:20:203:44                                | getNumActive0                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:202:20:202:32                                | getNumActive0                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:208:20:208:47                                | getNumActive1                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:207:20:207:32                                | getNumActive1                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:213:20:213:42                                | getNumIdle0                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:212:20:212:30                                | getNumIdle0                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:218:20:218:45                                | getNumIdle1                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:217:20:217:30                                | getNumIdle1                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:225:17:225:53                                | invalidateObject0                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:223:21:223:37                                | invalidateObject0                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:243:36:243:61                                | returnObject                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:241:21:241:32                                | currentTimeMillis                           | file:///modules/java.base/java/lang/System.class:0:0:0:0                                                                                                                                     |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:244:42:244:62                                | returnObject                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:241:21:241:32                                | getErodingFactor                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:188:33:188:48                                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:246:21:246:42                                | returnObject                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:241:21:241:32                                | getNextShrink                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:74:21:74:33                                    |
