| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseKeyedPooledObjectFactory.java:68:16:68:32               | wrap                            |    1 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseKeyedPooledObjectFactory.java:68:21:68:31               | wrap(V)                                                      | makeObject                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseKeyedPooledObjectFactory.java:67:28:67:37               | BaseKeyedPooledObjectFactory               | wrap                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseKeyedPooledObjectFactory.java:102:37:102:40       | BaseKeyedPooledObjectFactory                |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:117:13:117:26                          | addObject                       |    1 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:117:23:117:25                          | addObject(K)                                                 | addObjects                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:111:18:111:27                          | KeyedObjectPool                            | addObject                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:77:10:77:18                      | KeyedObjectPool                             |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:249:9:249:34                           | invalidateObject                |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:249:26:249:28                          | invalidateObject(K, V)                                       | invalidateObject                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:247:18:247:33                          | KeyedObjectPool                            | invalidateObject                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:228:10:228:25                    | KeyedObjectPool                             |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:249:9:249:34                           | invalidateObject                |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:249:31:249:33                          | invalidateObject(K, V)                                       | invalidateObject                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:247:18:247:33                          | KeyedObjectPool                            | invalidateObject                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedObjectPool.java:228:10:228:25                    | KeyedObjectPool                             |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedPooledObjectFactory.java:102:9:102:29                  | destroyObject                   |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedPooledObjectFactory.java:102:23:102:25                 | destroyObject(K, PooledObject<V>)                            | destroyObject                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedPooledObjectFactory.java:100:18:100:30                 | KeyedPooledObjectFactory                   | destroyObject                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedPooledObjectFactory.java:85:10:85:22             | KeyedPooledObjectFactory                    |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedPooledObjectFactory.java:102:9:102:29                  | destroyObject                   |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedPooledObjectFactory.java:102:28:102:28                 | destroyObject(K, PooledObject<V>)                            | destroyObject                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedPooledObjectFactory.java:100:18:100:30                 | KeyedPooledObjectFactory                   | destroyObject                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/KeyedPooledObjectFactory.java:85:10:85:22             | KeyedPooledObjectFactory                    |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/ObjectPool.java:174:9:174:29                                | invalidateObject                |    1 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/ObjectPool.java:174:26:174:28                               | invalidateObject(T)                                          | invalidateObject                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/ObjectPool.java:173:18:173:33                               | ObjectPool                                 | invalidateObject                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/ObjectPool.java:157:10:157:25                         | ObjectPool                                  |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:96:30:96:49                                  | max                             |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:96:39:96:39                                  | max(int, int)                                                | update                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:95:21:95:26                                  | ErodingFactor                              | max                             | file:///modules/java.base/java/lang/Math.class:0:0:0:0                                                                                                                   | Math                                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:96:30:96:49                                  | max                             |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:96:42:96:48                                  | max(int, int)                                                | update                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:95:21:95:26                                  | ErodingFactor                              | max                             | file:///modules/java.base/java/lang/Math.class:0:0:0:0                                                                                                                   | Math                                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:97:33:97:65                                  | max                             |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:97:42:97:45                                  | max(int, int)                                                | update                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:95:21:95:26                                  | ErodingFactor                              | max                             | file:///modules/java.base/java/lang/Math.class:0:0:0:0                                                                                                                   | Math                                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:97:33:97:65                                  | max                             |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:97:48:97:64                                  | max(int, int)                                                | update                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:95:21:95:26                                  | ErodingFactor                              | max                             | file:///modules/java.base/java/lang/Math.class:0:0:0:0                                                                                                                   | Math                                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:151:13:151:36                                | addObject                       |    1 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:151:33:151:35                                | addObject(K)                                                 | addObject                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:149:21:149:29                                | ErodingKeyedObjectPool                     | addObject                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                        | KeyedObjectPool<K,V>                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:158:20:158:46                                | borrowObject                    |    1 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:158:43:158:45                                | borrowObject(K)                                              | borrowObject                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:156:18:156:29                                | ErodingKeyedObjectPool                     | borrowObject                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                        | KeyedObjectPool<K,V>                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:170:13:170:32                                | clear                           |    1 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:170:29:170:31                                | clear(K)                                                     | clear                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:169:21:169:25                                | ErodingKeyedObjectPool                     | clear                           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                        | KeyedObjectPool<K,V>                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:210:20:210:46                                | getNumActive                    |    1 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:210:43:210:45                                | getNumActive(K)                                              | getNumActive                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:209:20:209:31                                | ErodingKeyedObjectPool                     | getNumActive                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                        | KeyedObjectPool<K,V>                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:222:20:222:44                                | getNumIdle                      |    1 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:222:41:222:43                                | getNumIdle(K)                                                | getNumIdle                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:221:20:221:29                                | ErodingKeyedObjectPool                     | getNumIdle                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                        | KeyedObjectPool<K,V>                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:229:17:229:52                                | invalidateObject                |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:229:44:229:46                                | invalidateObject(K, V)                                       | invalidateObject                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:227:21:227:36                                | ErodingKeyedObjectPool                     | invalidateObject                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                        | KeyedObjectPool<K,V>                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:229:17:229:52                                | invalidateObject                |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:229:49:229:51                                | invalidateObject(K, V)                                       | invalidateObject                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:227:21:227:36                                | ErodingKeyedObjectPool                     | invalidateObject                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                        | KeyedObjectPool<K,V>                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:248:42:248:62                                | getErodingFactor                |    1 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:248:59:248:61                                | getErodingFactor(K)                                          | returnObject                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:245:21:245:32                                | ErodingKeyedObjectPool                     | getErodingFactor                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:188:33:188:48                          | ErodingKeyedObjectPool                      |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:251:41:251:55                                | getNumIdle                      |    1 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:251:52:251:54                                | getNumIdle(K)                                                | returnObject                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:245:21:245:32                                | ErodingKeyedObjectPool                     | getNumIdle                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:221:20:221:29                          | ErodingKeyedObjectPool                      |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:256:21:256:53                                | update                          |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:256:35:256:43                                | update(long, int)                                            | returnObject                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:245:21:245:32                                | ErodingKeyedObjectPool                     | update                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:95:21:95:26                            | ErodingFactor                               |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:256:21:256:53                                | update                          |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:256:46:256:52                                | update(long, int)                                            | returnObject                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:245:21:245:32                                | ErodingKeyedObjectPool                     | update                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:95:21:95:26                            | ErodingFactor                               |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:261:21:261:56                                | invalidateObject                |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:261:48:261:50                                | invalidateObject(K, V)                                       | returnObject                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:245:21:245:32                                | ErodingKeyedObjectPool                     | invalidateObject                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                        | KeyedObjectPool<K,V>                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:261:21:261:56                                | invalidateObject                |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:261:53:261:55                                | invalidateObject(K, V)                                       | returnObject                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:245:21:245:32                                | ErodingKeyedObjectPool                     | invalidateObject                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                        | KeyedObjectPool<K,V>                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:263:21:263:52                                | returnObject                    |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:263:44:263:46                                | returnObject(K, V)                                           | returnObject                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:245:21:245:32                                | ErodingKeyedObjectPool                     | returnObject                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                        | KeyedObjectPool<K,V>                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:263:21:263:52                                | returnObject                    |    2 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:263:49:263:51                                | returnObject(K, V)                                           | returnObject                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:245:21:245:32                                | ErodingKeyedObjectPool                     | returnObject                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/target/classes/org/apache/commons/pool2/KeyedObjectPool.class:0:0:0:0                        | KeyedObjectPool<K,V>                        |
| file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:352:17:352:42                                | invalidateObject                |    1 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:352:39:352:41                                | invalidateObject(T)                                          | invalidateObject                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:350:21:350:36                                | ErodingObjectPool                          | invalidateObject                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-pool/target/classes/org/apache/commons/pool2/ObjectPool.class:0:0:0:0                             | ObjectPool<T>                               |
