| Node                                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/LinkedBlockingDeque.java:223:32:223:35             | LinkedBlockingDeque               |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java:287:52:287:68         | TestLinkedBlockingDeque           |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java:293:17:296:17         | TestLinkedBlockingDeque           |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java:328:51:328:73         | TestLinkedBlockingDeque           |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java:334:50:334:70         | TestLinkedBlockingDeque           |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java:341:50:341:75         | TestLinkedBlockingDeque           |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java:350:50:350:74         | TestLinkedBlockingDeque           |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java:359:52:359:64         | TestLinkedBlockingDeque           |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java:367:52:367:69         | TestLinkedBlockingDeque           |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java:373:17:376:17         | TestLinkedBlockingDeque           |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java:381:52:381:68         | TestLinkedBlockingDeque           |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestLinkedBlockingDeque.java:387:17:390:17         | TestLinkedBlockingDeque           |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedKeyedObjectPool.java:77:51:77:62   | BaseTestProxiedKeyedObjectPool    |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedKeyedObjectPool.java:91:51:91:62   | BaseTestProxiedKeyedObjectPool    |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedKeyedObjectPool.java:124:51:124:76 | BaseTestProxiedKeyedObjectPool    |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedObjectPool.java:75:51:75:62        | BaseTestProxiedObjectPool         |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedObjectPool.java:90:51:90:62        | BaseTestProxiedObjectPool         |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedObjectPool.java:124:51:124:72      | BaseTestProxiedObjectPool         |
| new Predicate<MethodCall>(...) { ... }                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/TestObjectPool.java:31:24:31:69                         | TestObjectPool                    |
| new InvocationHandler(...) { ... }                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/TestPoolUtils.java:287:64:287:89                        | TestPoolUtils                     |
| new InvocationHandler(...) { ... }                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/TestPoolUtils.java:301:69:301:94                        | TestPoolUtils                     |
| new Runnable(...) { ... }                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java:45:17:64:17           | TestDefaultPooledObject           |
| new Runnable(...) { ... }                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java:66:17:73:17           | TestDefaultPooledObject           |
