| setFileItemFactory | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUpload.java:75:17:75:34                | setFileItemFactory | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:139:26:139:43    | FileUploadBase      |
| read               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:453:20:453:23  | read               | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | InputStream         |
| read               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:449:20:449:23  | read               | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | InputStream         |
| isClosed           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:843:24:843:31         | isClosed           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:37:13:37:20      | Closeable           |
| skip               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:784:21:784:24         | skip               | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///modules/java.base/java/lang/AutoCloseable.class:0:0:0:0                                                                                                    | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:744:21:744:25         | close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14      | Closeable           |
| read               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:717:20:717:23         | read               | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | InputStream         |
| read               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:692:20:692:23         | read               | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | InputStream         |
| available          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:675:20:675:28         | available          | file:///modules/java.base/java/io/InputStream.class:0:0:0:0                                                                                                        | InputStream         |
| update             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/test/java/org/apache/commons/fileupload/ProgressListenerTest.java:41:21:41:26      | update             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/ProgressListener.java:31:10:31:15    | ProgressListener    |
| getHeaders         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java:63:29:63:38  | getHeaders         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeaders.java:53:22:53:31     | FileItemHeaders     |
| getHeaderNames     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java:57:29:57:42  | getHeaderNames     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeaders.java:61:22:61:35     | FileItemHeaders     |
| getHeader          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/FileItemHeadersImpl.java:46:19:46:27  | getHeader          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeaders.java:40:12:40:20     | FileItemHeaders     |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/LimitedInputStream.java:140:17:140:21 | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/LimitedInputStream.java:140:17:140:21 | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/LimitedInputStream.java:140:17:140:21 | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/LimitedInputStream.java:140:17:140:21 | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | FilterInputStream   |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/LimitedInputStream.java:140:17:140:21 | close              | file:///modules/java.base/java/io/Closeable.class:0:0:0:0                                                                                                          | Closeable           |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/LimitedInputStream.java:140:17:140:21 | close              | file:///modules/java.base/java/io/FilterInputStream.class:0:0:0:0                                                                                                  | AutoCloseable       |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/LimitedInputStream.java:140:17:140:21 | close              | file:///modules/java.base/java/io/FilterInputStream.class:0:0:0:0                                                                                                  | InputStream         |
| close              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/LimitedInputStream.java:140:17:140:21 | close              | file:///modules/java.base/java/io/FilterInputStream.class:0:0:0:0                                                                                                  | Closeable           |
