| DefaultFileItem                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java:57:12:57:26                  | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java:63:30:65:5                  | DefaultFileItem(String, String, boolean, String, int, File) |    6 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java:58:13:58:28                  | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java:64:9:64:88                   |
| FileSizeLimitExceededException  | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:928:16:928:45                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:928:92:930:9                 | FileSizeLimitExceededException(String, long, long)          |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:928:47:928:60                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:929:13:929:46                 |
| FileSizeLimitExceededException  | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:928:16:928:45                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:928:92:930:9                 | FileSizeLimitExceededException(String, long, long)          |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:928:63:928:73                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:929:13:929:46                 |
| FileSizeLimitExceededException  | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:928:16:928:45                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:928:92:930:9                 | FileSizeLimitExceededException(String, long, long)          |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:928:76:928:89                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:929:13:929:46                 |
| FileUploadIOException           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:716:16:716:36                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:716:66:718:9                 | FileUploadIOException(FileUploadException)                  |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:716:38:716:63                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:716:16:716:36                 |
| IOFileUploadException           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:782:16:782:36                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:782:75:785:9                 | IOFileUploadException(String, IOException)                  |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:782:38:782:48                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:783:13:783:24                 |
| IOFileUploadException           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:782:16:782:36                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:782:75:785:9                 | IOFileUploadException(String, IOException)                  |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:782:51:782:72                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:783:13:783:24                 |
| InvalidContentTypeException     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:759:16:759:42                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:759:73:761:9                 | InvalidContentTypeException(String, Throwable)              |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:759:44:759:53                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:760:13:760:30                 |
| InvalidContentTypeException     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:759:16:759:42                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:759:73:761:9                 | InvalidContentTypeException(String, Throwable)              |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:759:56:759:70                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:760:13:760:30                 |
| InvalidContentTypeException     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:747:16:747:42                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:747:60:749:9                 | InvalidContentTypeException(String)                         |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:747:44:747:57                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:748:13:748:27                 |
| SizeException                   | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:817:19:817:31                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:817:78:821:9                 | SizeException(String, long, long)                           |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:817:33:817:46                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:818:13:818:27                 |
| SizeException                   | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:817:19:817:31                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:817:78:821:9                 | SizeException(String, long, long)                           |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:817:49:817:59                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:818:13:818:27                 |
| SizeException                   | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:817:19:817:31                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:817:78:821:9                 | SizeException(String, long, long)                           |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:817:62:817:75                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:818:13:818:27                 |
| SizeLimitExceededException      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:903:16:903:41                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:903:88:905:9                 | SizeLimitExceededException(String, long, long)              |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:903:43:903:56                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:904:13:904:46                 |
| SizeLimitExceededException      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:903:16:903:41                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:903:88:905:9                 | SizeLimitExceededException(String, long, long)              |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:903:59:903:69                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:904:13:904:46                 |
| SizeLimitExceededException      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:903:16:903:41                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:903:88:905:9                 | SizeLimitExceededException(String, long, long)              |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:903:72:903:85                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:904:13:904:46                 |
| SizeLimitExceededException      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:891:16:891:41                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:891:59:893:9                 | SizeLimitExceededException(String)                          |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:891:43:891:56                 | this(...)                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:892:13:892:32                 |
| UnknownSizeException            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:867:16:867:35                 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:867:53:869:9                 | UnknownSizeException(String)                                |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:867:37:867:50                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:868:13:868:27                 |
| FileUploadException             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:54:12:54:30              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:54:61:57:5              | FileUploadException(String, Throwable)                      |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:54:32:54:41              | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:55:9:55:19               |
| FileUploadException             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:54:12:54:30              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:54:61:57:5              | FileUploadException(String, Throwable)                      |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:54:44:54:58              | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:55:9:55:19               |
| FileUploadException             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:44:12:44:30              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:44:50:46:5              | FileUploadException(String)                                 |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:44:32:44:47              | this(...)                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:45:9:45:24               |
| InvalidFileNameException        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/InvalidFileNameException.java:40:12:40:35         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/InvalidFileNameException.java:40:68:43:5         | InvalidFileNameException(String, String)                    |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/InvalidFileNameException.java:40:37:40:48         | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/InvalidFileNameException.java:41:9:41:24          |
| InvalidFileNameException        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/InvalidFileNameException.java:40:12:40:35         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/InvalidFileNameException.java:40:68:43:5         | InvalidFileNameException(String, String)                    |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/InvalidFileNameException.java:40:51:40:65         | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/InvalidFileNameException.java:41:9:41:24          |
| MyServletInputStream            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:444:16:444:35         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:444:73:447:9         | MyServletInputStream(InputStream, int)                      |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:444:37:444:55         | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:444:16:444:35         |
| MyServletInputStream            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:444:16:444:35         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:444:73:447:9         | MyServletInputStream(InputStream, int)                      |    2 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:444:58:444:70         | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:444:16:444:35         |
| MockHttpServletRequest          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:46:12:46:33           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:47:99:52:5           | MockHttpServletRequest(InputStream, long, String)           |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:47:13:47:41           | <obinit>(...)                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:46:12:46:33           |
| MockHttpServletRequest          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:46:12:46:33           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:47:99:52:5           | MockHttpServletRequest(InputStream, long, String)           |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:47:13:47:41           | put(...)                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:51:9:51:66            |
| MockHttpServletRequest          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:46:12:46:33           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:47:99:52:5           | MockHttpServletRequest(InputStream, long, String)           |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:47:13:47:41           | super(...)                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:46:12:46:33           |
| MockHttpServletRequest          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:46:12:46:33           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:47:99:52:5           | MockHttpServletRequest(InputStream, long, String)           |    3 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:47:44:47:67           | <obinit>(...)                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:46:12:46:33           |
