| AltCharSequence                                             | subSequence                                        | start                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:32:25:32:35                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:32:57:34:5                                     |
| DistanceFromStringInvalidParameterCount                     | parse                                              | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringInvalidParameterCount.java:25:59:25:63            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringInvalidParameterCount.java:25:91:27:5             |
| DistanceFromStringInvalidParameterCount                     | parse                                              | value                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringInvalidParameterCount.java:25:59:25:63            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringInvalidParameterCount.java:25:91:27:5             |
| DistanceFromStringInvalidReturnType                         | DistanceFromStringInvalidReturnType                | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringInvalidReturnType.java:29:12:29:46                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringInvalidReturnType.java:29:60:31:5                 |
| DistanceFromStringInvalidReturnType                         | parse                                              | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringInvalidReturnType.java:25:27:25:31                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringInvalidReturnType.java:25:48:27:5                 |
| DistanceFromStringNoToString                                | equals                                             | obj                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringNoToString.java:40:20:40:25                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringNoToString.java:40:39:43:5                        |
| DistanceFromStringNoToString                                | DistanceFromStringNoToString                       | constructorId        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringNoToString.java:25:12:25:39                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringNoToString.java:25:88:33:5                        |
| DistanceFromStringNoToString                                | DistanceFromStringNoToString                       | amount1              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringNoToString.java:25:12:25:39                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringNoToString.java:25:88:33:5                        |
| DistanceFromStringNoToString                                | DistanceFromStringNoToString                       | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringNoToString.java:25:12:25:39                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringNoToString.java:25:88:33:5                        |
| DistanceMethodAndConstructorAnnotations                     | DistanceMethodAndConstructorAnnotations            | constructorId        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodAndConstructorAnnotations.java:30:12:30:50            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodAndConstructorAnnotations.java:30:99:39:5             |
| DistanceMethodAndConstructorAnnotations                     | DistanceMethodAndConstructorAnnotations            | amount1              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodAndConstructorAnnotations.java:30:12:30:50            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodAndConstructorAnnotations.java:30:99:39:5             |
| DistanceMethodAndConstructorAnnotations                     | DistanceMethodAndConstructorAnnotations            | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodAndConstructorAnnotations.java:30:12:30:50            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodAndConstructorAnnotations.java:30:99:39:5             |
| DistanceMethodAndConstructorAnnotations                     | parse                                              | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodAndConstructorAnnotations.java:25:59:25:63            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodAndConstructorAnnotations.java:25:80:28:5             |
| DistanceMethodConstructor                                   | DistanceMethodConstructor                          | constructorId        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructor.java:25:12:25:36                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructor.java:25:85:32:5                           |
| DistanceMethodConstructor                                   | DistanceMethodConstructor                          | amount1              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructor.java:25:12:25:36                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructor.java:25:85:32:5                           |
| DistanceMethodConstructor                                   | DistanceMethodConstructor                          | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructor.java:25:12:25:36                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructor.java:25:85:32:5                           |
| DistanceMethodConstructorCharSequence                       | DistanceMethodConstructorCharSequence              | constructorId        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructorCharSequence.java:25:12:25:48              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructorCharSequence.java:26:66:33:5               |
| DistanceMethodConstructorCharSequence                       | DistanceMethodConstructorCharSequence              | amount1              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructorCharSequence.java:25:12:25:48              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructorCharSequence.java:26:66:33:5               |
| DistanceMethodConstructorCharSequence                       | DistanceMethodConstructorCharSequence              | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructorCharSequence.java:25:12:25:48              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructorCharSequence.java:26:66:33:5               |
| DistanceMethodMethod                                        | DistanceMethodMethod                               | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodMethod.java:30:12:30:31                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodMethod.java:30:45:32:5                                |
| DistanceMethodMethod                                        | parse                                              | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodMethod.java:25:40:25:44                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodMethod.java:25:61:28:5                                |
| DistanceMethodMethodCharSequence                            | DistanceMethodMethodCharSequence                   | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodMethodCharSequence.java:30:12:30:43                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodMethodCharSequence.java:30:57:32:5                    |
| DistanceMethodMethodCharSequence                            | parse                                              | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodMethodCharSequence.java:25:52:25:56                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodMethodCharSequence.java:25:79:28:5                    |
| DistanceNoAnnotations                                       | DistanceNoAnnotations                              | constructorId        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotations.java:28:12:28:32                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotations.java:28:81:37:5                               |
| DistanceNoAnnotations                                       | DistanceNoAnnotations                              | amount1              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotations.java:28:12:28:32                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotations.java:28:81:37:5                               |
| DistanceNoAnnotations                                       | DistanceNoAnnotations                              | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotations.java:28:12:28:32                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotations.java:28:81:37:5                               |
| DistanceNoAnnotations                                       | parse                                              | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotations.java:24:41:24:45                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotations.java:24:62:26:5                               |
| DistanceNoAnnotationsCharSequence                           | DistanceNoAnnotationsCharSequence                  | constructorId        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotationsCharSequence.java:28:12:28:44                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotationsCharSequence.java:28:99:37:5                   |
| DistanceNoAnnotationsCharSequence                           | DistanceNoAnnotationsCharSequence                  | amount1              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotationsCharSequence.java:28:12:28:44                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotationsCharSequence.java:28:99:37:5                   |
| DistanceNoAnnotationsCharSequence                           | DistanceNoAnnotationsCharSequence                  | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotationsCharSequence.java:28:12:28:44                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotationsCharSequence.java:28:99:37:5                   |
| DistanceNoAnnotationsCharSequence                           | parse                                              | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotationsCharSequence.java:24:53:24:57                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotationsCharSequence.java:24:80:26:5                   |
| DistanceToStringException                                   | DistanceToStringException                          | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringException.java:32:12:32:36                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringException.java:32:50:34:5                           |
| DistanceToStringException                                   | parse                                              | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringException.java:27:45:27:49                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringException.java:27:66:30:5                           |
| DistanceToStringInvalidParameters                           | print                                              | num                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidParameters.java:37:19:37:23                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidParameters.java:37:34:39:5                   |
| DistanceToStringInvalidParameters                           | DistanceToStringInvalidParameters                  | constructorId        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidParameters.java:24:12:24:44                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidParameters.java:24:93:33:5                   |
| DistanceToStringInvalidParameters                           | DistanceToStringInvalidParameters                  | amount1              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidParameters.java:24:12:24:44                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidParameters.java:24:93:33:5                   |
| DistanceToStringInvalidParameters                           | DistanceToStringInvalidParameters                  | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidParameters.java:24:12:24:44                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidParameters.java:24:93:33:5                   |
| DistanceToStringInvalidReturnType                           | DistanceToStringInvalidReturnType                  | constructorId        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidReturnType.java:24:12:24:44                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidReturnType.java:24:93:33:5                   |
| DistanceToStringInvalidReturnType                           | DistanceToStringInvalidReturnType                  | amount1              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidReturnType.java:24:12:24:44                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidReturnType.java:24:93:33:5                   |
| DistanceToStringInvalidReturnType                           | DistanceToStringInvalidReturnType                  | amount               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidReturnType.java:24:12:24:44                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidReturnType.java:24:93:33:5                   |
