| subSequence                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:32:25:32:35                                    | subSequence                | file:///9A/java.base/java/lang/CharSequence.sig:0:0:0:0                                                                                                        | CharSequence                               |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodAndConstructorAnnotations.java:48:19:48:26            | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructor.java:40:19:40:26                          | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodConstructorCharSequence.java:41:19:41:26              | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodMethod.java:40:19:40:26                               | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceMethodMethodCharSequence.java:40:19:40:26                   | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotations.java:44:19:44:26                              | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceNoAnnotationsCharSequence.java:44:19:44:26                  | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringException.java:42:19:42:26                          | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidParameters.java:42:19:42:26                  | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringInvalidReturnType.java:42:19:42:26                  | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceToStringNoFromString.java:41:19:41:26                       | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceTwoFromStringMethodAnnotations.java:53:19:53:26             | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceTwoToStringAnnotations.java:43:19:43:26                     | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceWithFactory.java:31:19:31:26                                | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/TypedStringConverter.java:39:14:39:29                               | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedFromStringConverter<T>                |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:76:25:76:40                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedStringConverter<Enum<?>>              |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:76:25:76:40                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedFromStringConverter<Enum<?>>          |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:76:25:76:40                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedStringConverter<Enum<?>>              |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:76:25:76:40                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedFromStringConverter<Enum<?>>          |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:76:25:76:40                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedStringConverter<Enum<?>>              |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:76:25:76:40                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedFromStringConverter<Enum<?>>          |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:76:25:76:40                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedStringConverter<Enum<?>>              |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:76:25:76:40                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedFromStringConverter<Enum<?>>          |
| convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:71:24:71:40                         | convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/FromStringConverter.class:0:0:0:0      | FromStringConverter<Enum<?>>               |
| convertToString            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:65:23:65:37                         | convertToString            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/ToStringConverter.class:0:0:0:0        | ToStringConverter<Enum<?>>                 |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:52:19:52:26                         | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| findConverter              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/EnumStringConverterFactory.java:41:31:41:43                         | findConverter              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/StringConverterFactory.java:35:24:35:36 | StringConverterFactory                     |
| getCode                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/HasCodeImpl.java:33:19:33:25                                        | getCode                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/test-classes/org/joda/convert/HasCodeInterface.class:0:0:0:0    | HasCodeInterface<String>                   |
| convertToString            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/JDKStringConverter.java:417:19:417:33                               | convertToString            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/ToStringConverter.class:0:0:0:0        | ToStringConverter<Object>                  |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/JDKStringConverter.java:412:21:412:36                               | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedStringConverter<Object>               |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/JDKStringConverter.java:412:21:412:36                               | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedFromStringConverter<Object>           |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/JDKStringConverter.java:412:21:412:36                               | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedStringConverter<Object>               |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/JDKStringConverter.java:412:21:412:36                               | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedFromStringConverter<Object>           |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/JDKStringConverter.java:412:21:412:36                               | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedStringConverter<Object>               |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/JDKStringConverter.java:412:21:412:36                               | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedFromStringConverter<Object>           |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/JDKStringConverter.java:412:21:412:36                               | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedStringConverter<Object>               |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/JDKStringConverter.java:412:21:412:36                               | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedFromStringConverter<Object>           |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/MethodFromStringConverter.java:84:21:84:36                          | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedFromStringConverter<T>                |
| convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/MethodFromStringConverter.java:70:14:70:30                          | convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/FromStringConverter.class:0:0:0:0      | FromStringConverter<T>                     |
| convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/MockDistanceStringConverter.java:43:33:43:49                        | convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/FromStringConverter.class:0:0:0:0      | FromStringConverter<DistanceMethodMethod>  |
| convertToString            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/MockDistanceStringConverter.java:31:19:31:33                        | convertToString            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/ToStringConverter.class:0:0:0:0        | ToStringConverter<DistanceMethodMethod>    |
| convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/MockIntegerStringConverter.java:43:20:43:36                         | convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/FromStringConverter.class:0:0:0:0      | FromStringConverter<Integer>               |
| convertToString            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/MockIntegerStringConverter.java:31:19:31:33                         | convertToString            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/ToStringConverter.class:0:0:0:0        | ToStringConverter<Integer>                 |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalDoubleStringConverter.java:72:21:72:36                      | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedStringConverter<Object>               |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalDoubleStringConverter.java:72:21:72:36                      | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedFromStringConverter<Object>           |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalDoubleStringConverter.java:72:21:72:36                      | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedStringConverter<Object>               |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalDoubleStringConverter.java:72:21:72:36                      | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedFromStringConverter<Object>           |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalDoubleStringConverter.java:72:21:72:36                      | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedStringConverter<Object>               |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalDoubleStringConverter.java:72:21:72:36                      | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedFromStringConverter<Object>           |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalDoubleStringConverter.java:72:21:72:36                      | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedStringConverter<Object>               |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalDoubleStringConverter.java:72:21:72:36                      | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedFromStringConverter<Object>           |
| convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalDoubleStringConverter.java:59:19:59:35                      | convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/FromStringConverter.class:0:0:0:0      | FromStringConverter<Object>                |
| convertToString            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalDoubleStringConverter.java:49:19:49:33                      | convertToString            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/ToStringConverter.class:0:0:0:0        | ToStringConverter<Object>                  |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalIntStringConverter.java:72:21:72:36                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedStringConverter<Object>               |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalIntStringConverter.java:72:21:72:36                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedFromStringConverter<Object>           |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalIntStringConverter.java:72:21:72:36                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedStringConverter<Object>               |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalIntStringConverter.java:72:21:72:36                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedFromStringConverter<Object>           |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalIntStringConverter.java:72:21:72:36                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedStringConverter<Object>               |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalIntStringConverter.java:72:21:72:36                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedFromStringConverter<Object>           |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalIntStringConverter.java:72:21:72:36                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedStringConverter<Object>               |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalIntStringConverter.java:72:21:72:36                         | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedStringConverter.class:0:0:0:0     | TypedFromStringConverter<Object>           |
| convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalIntStringConverter.java:59:19:59:35                         | convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/FromStringConverter.class:0:0:0:0      | FromStringConverter<Object>                |
| convertToString            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalIntStringConverter.java:49:19:49:33                         | convertToString            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/ToStringConverter.class:0:0:0:0        | ToStringConverter<Object>                  |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalLongStringConverter.java:72:21:72:36                        | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedStringConverter<Object>               |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/OptionalLongStringConverter.java:72:21:72:36                        | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedFromStringConverter<Object>           |
