| CommandLine                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:33:14:33:24                                                 | toString                                      | public       | String               | Ljava/lang/String;                             | toString()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:412:5:412:13                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:413:19:413:26                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:413:30:415:5                                               |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testNullExecutable                            | public       | void                 | V                                              | testNullExecutable()                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:341:5:341:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:342:17:342:34                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:342:38:344:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testExecutableZeroLengthString                | public       | void                 | V                                              | testExecutableZeroLengthString()                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:336:5:336:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:337:17:337:46                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:337:50:339:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testExecutableWhitespaceString                | public       | void                 | V                                              | testExecutableWhitespaceString()                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:331:5:331:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:332:17:332:46                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:332:50:334:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testExecutable                                | public       | void                 | V                                              | testExecutable()                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:322:5:322:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:323:17:323:30                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:323:34:329:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testCopyConstructor                           | public       | void                 | V                                              | testCopyConstructor()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:306:5:306:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:307:17:307:35                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:307:39:320:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testComplexAddArguments2                      | public       | void                 | V                                              | testComplexAddArguments2()                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:299:5:299:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:300:17:300:40                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:300:44:304:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testComplexAddArguments1                      | public       | void                 | V                                              | testComplexAddArguments1()                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:287:5:287:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:288:17:288:40                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:288:44:292:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testComplexAddArgument                        | public       | void                 | V                                              | testComplexAddArgument()                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:273:5:273:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:274:17:274:38                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:274:42:281:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testCommandLineParsingWithExpansion3          | public       | void                 | V                                              | testCommandLineParsingWithExpansion3()          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:252:5:252:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:253:17:253:52                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:253:56:267:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testCommandLineParsingWithExpansion2          | public       | void                 | V                                              | testCommandLineParsingWithExpansion2()          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:204:5:204:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:205:17:205:52                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:205:56:250:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testCommandLineParsingWithExpansion1          | public       | void                 | V                                              | testCommandLineParsingWithExpansion1()          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:159:5:159:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:160:17:160:52                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:160:56:198:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testAddTwoArguments                           | public       | void                 | V                                              | testAddTwoArguments()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:141:5:141:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:142:17:142:35                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:142:39:154:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testAddNullArgument                           | public       | void                 | V                                              | testAddNullArgument()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:129:5:129:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:130:17:130:35                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:130:39:136:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testAddArgumentWithSpace                      | public       | void                 | V                                              | testAddArgumentWithSpace()                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:120:5:120:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:121:17:121:40                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:121:44:127:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testAddArgumentWithSingleQuote                | public       | void                 | V                                              | testAddArgumentWithSingleQuote()                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:110:5:110:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:111:17:111:46                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:111:50:118:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testAddArgumentWithQuotesAround               | public       | void                 | V                                              | testAddArgumentWithQuotesAround()               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:100:5:100:9                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:101:17:101:47                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:101:51:108:5                                           |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testAddArgumentWithQuote                      | public       | void                 | V                                              | testAddArgumentWithQuote()                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:91:5:91:9                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:92:17:92:40                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:92:44:98:5                                             |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testAddArgumentWithBothQuotes                 | public       | void                 | V                                              | testAddArgumentWithBothQuotes()                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:85:5:85:9                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:86:17:86:45                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:86:49:89:5                                             |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testAddArgumentsWithQuotesAndSpaces           | public       | void                 | V                                              | testAddArgumentsWithQuotesAndSpaces()           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:77:5:77:9                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:78:17:78:51                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:78:55:83:5                                             |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testAddArgumentsWithQuotes                    | public       | void                 | V                                              | testAddArgumentsWithQuotes()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:69:5:69:9                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:70:17:70:42                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:70:46:75:5                                             |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testAddArgumentsArrayNull                     | public       | void                 | V                                              | testAddArgumentsArrayNull()                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:61:5:61:9                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:62:17:62:41                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:62:45:67:5                                             |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testAddArgumentsArray                         | public       | void                 | V                                              | testAddArgumentsArray()                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:53:5:53:9                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:54:17:54:37                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:54:41:59:5                                             |
| CommandLineTest                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:33:14:33:28                                             | testAddArguments                              | public       | void                 | V                                              | testAddArguments()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:45:5:45:9                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:46:17:46:32                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:46:36:51:5                                             |
