| import BufferedInputStream                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/StreamPumper_ESTest.java:11:1:11:35                                         |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/CommandLauncherProxy.java:20:1:20:27                               |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/OS2CommandLauncher.java:21:1:21:27                                 |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/Java13CommandLauncher.java:21:1:21:27                              |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/VmsCommandLauncher.java:21:1:21:27                                 |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/WinNTCommandLauncher.java:21:1:21:27                               |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/TutorialTest.java:21:1:21:27                                                |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/environment/EnvironmentUtilsTest.java:26:1:26:27                            |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec57Test.java:20:1:20:27                                           |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/CommandLauncherImpl_ESTest.java:12:1:12:27                         |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/CommandLauncherProxy_ESTest.java:11:1:11:27                        |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/Java13CommandLauncher_ESTest.java:12:1:12:27                       |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/OS2CommandLauncher_ESTest.java:12:1:12:27                          |
| import IOException                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/WinNTCommandLauncher_ESTest.java:12:1:12:27                        |
| import InputStream                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/ExecuteStreamHandler.java:21:1:21:27                                        |
| import InputStream                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/InputStreamPumper.java:20:1:20:27                                           |
| import InputStream                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/PumpStreamHandler.java:21:1:21:27                                           |
| import InputStream                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/StreamPumper.java:21:1:21:27                                                |
| import InputStream                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/PumpStreamHandler_ESTest.java:16:1:16:27                                    |
| import BufferedOutputStream                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/PumpStreamHandler_ESTest.java:12:1:12:36                                    |
| import OutputStream                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/ExecuteStreamHandler.java:22:1:22:28                                        |
| import OutputStream                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/InputStreamPumper.java:21:1:21:28                                           |
| import OutputStream                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/LogOutputStream.java:22:1:22:28                                             |
| import OutputStream                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/PumpStreamHandler.java:22:1:22:28                                           |
| import OutputStream                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/StreamPumper.java:22:1:22:28                                                |
| import OutputStream                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/InputStreamPumper_ESTest.java:13:1:13:28                                    |
| import OutputStream                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/PumpStreamHandler_ESTest.java:17:1:17:28                                    |
| import OutputStream                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec62Test.java:21:1:21:28                                           |
| import BufferedReader                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/environment/DefaultProcessingEnvironment.java:20:1:20:30                    |
| import BufferedReader                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/environment/DefaultProcessingEnvironment_ESTest.java:10:1:10:30             |
| import ByteArrayInputStream                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/PumpStreamHandler_ESTest.java:13:1:13:36                                    |
| import ByteArrayOutputStream               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/LogOutputStream.java:20:1:20:37                                             |
| import ByteArrayOutputStream               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/PumpStreamHandler_ESTest.java:14:1:14:37                                    |
| import ByteArrayOutputStream               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/StreamPumper_ESTest.java:12:1:12:37                                         |
| import ByteArrayOutputStream               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec36Test.java:23:1:23:37                                           |
| import ByteArrayOutputStream               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec49Test.java:20:1:20:37                                           |
| import Charset                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/LogOutputStream.java:23:1:23:32                                             |
| import Charset                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/VmsCommandLauncher.java:23:1:23:32                                 |
| import Closeable                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecutor.java:19:1:19:25                                             |
| import PrintWriter                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/VmsCommandLauncher.java:22:1:22:27                                 |
| import DataInputStream                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/InputStreamPumper_ESTest.java:11:1:11:31                                    |
| import DataOutputStream                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/PumpStreamHandler_ESTest.java:15:1:15:32                                    |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:20:1:20:20                                                 |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/DaemonExecutor.java:19:1:19:20                                              |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecutor.java:20:1:20:20                                             |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/Executor.java:20:1:20:20                                                    |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/OS.java:19:1:19:20                                                          |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/CommandLauncher.java:20:1:20:20                                    |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/CommandLauncherImpl.java:20:1:20:20                                |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/OS2CommandLauncher.java:20:1:20:20                                 |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/Java13CommandLauncher.java:20:1:20:20                              |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/VmsCommandLauncher.java:20:1:20:20                                 |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/WinNTCommandLauncher.java:20:1:20:20                               |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/util/StringUtils.java:20:1:20:20                                            |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/AbstractExecTest.java:20:1:20:20                                            |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:24:1:24:20                                             |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/CommandLine_ESTest.java:11:1:11:20                                          |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/InputStreamPumper_ESTest.java:12:1:12:20                                    |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/TestUtil.java:22:1:22:20                                                    |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/TutorialTest.java:20:1:20:20                                                |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec36Test.java:24:1:24:20                                           |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec34Test.java:24:1:24:20                                           |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec33Test.java:22:1:22:20                                           |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec41Test.java:22:1:22:20                                           |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec44Test.java:23:1:23:20                                           |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec60Test.java:22:1:22:20                                           |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec62Test.java:20:1:20:20                                           |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/CommandLauncherImpl_ESTest.java:11:1:11:20                         |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec65Test.java:25:1:25:20                                           |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/Java13CommandLauncher_ESTest.java:11:1:11:20                       |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/OS2CommandLauncher_ESTest.java:11:1:11:20                          |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/VmsCommandLauncher_ESTest.java:11:1:11:20                          |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/WinNTCommandLauncher_ESTest.java:11:1:11:20                        |
| import File                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/util/StringUtils_ESTest.java:11:1:11:20                                     |
| import Path                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/VmsCommandLauncher.java:25:1:25:26                                 |
| import Path                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec62Test.java:23:1:23:26                                           |
| import PipedInputStream                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/InputStreamPumper_ESTest.java:14:1:14:32                                    |
| import PipedInputStream                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/PumpStreamHandler_ESTest.java:18:1:18:32                                    |
| import PipedInputStream                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/StreamPumper_ESTest.java:13:1:13:32                                         |
| import PipedInputStream                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec49Test.java:21:1:21:32                                           |
| import PipedOutputStream                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/PumpStreamHandler.java:23:1:23:33                                           |
| import PipedOutputStream                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/StreamPumper_ESTest.java:14:1:14:33                                         |
| import PipedOutputStream                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec49Test.java:22:1:22:33                                           |
| import Locale                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/OS.java:20:1:20:24                                                          |
| import Locale                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/environment/EnvironmentUtilsTest.java:29:1:29:24                            |
| import PushbackInputStream                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/StreamPumper_ESTest.java:15:1:15:35                                         |
| import SequenceInputStream                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/InputStreamPumper_ESTest.java:15:1:15:35                                    |
| import SequenceInputStream                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/PumpStreamHandler_ESTest.java:19:1:19:35                                    |
| import SequenceInputStream                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/StreamPumper_ESTest.java:16:1:16:35                                         |
| import Enumeration                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/InputStreamPumper_ESTest.java:16:1:16:29                                    |
| import Enumeration                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/PumpStreamHandler_ESTest.java:21:1:21:29                                    |
| import Enumeration                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/StreamPumper_ESTest.java:17:1:17:29                                         |
| import Set                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/VmsCommandLauncher.java:28:1:28:21                                 |
| import List                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/util/StringUtils.java:22:1:22:22                                            |
| import Future                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/VmsCommandLauncher_ESTest.java:15:1:15:35                          |
| import Future                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/VmsCommandLauncher_ESTest_scaffolding.java:18:1:18:35              |
| import TimeUnit                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec57Test.java:21:1:21:37                                           |
| import TimeUnit                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec62Test.java:24:1:24:37                                           |
| import TimeUnit                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec65Test.java:26:1:26:37                                           |
| import TimeUnit                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/VmsCommandLauncher_ESTest.java:16:1:16:37                          |
| import TimeUnit                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/launcher/VmsCommandLauncher_ESTest_scaffolding.java:19:1:19:37              |
| import Duration                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java:20:1:20:26                                 |
| import Duration                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/ExecuteWatchdog.java:20:1:20:26                                             |
| import Duration                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/PumpStreamHandler.java:24:1:24:26                                           |
| import Duration                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/Watchdog.java:20:1:20:26                                                    |
| import Duration                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/DefaultExecuteResultHandler_ESTest.java:11:1:11:26                          |
| import Duration                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/ExecuteWatchdog_ESTest.java:12:1:12:26                                      |
| import Duration                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/PumpStreamHandlerTest.java:22:1:22:26                                       |
| import Duration                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/PumpStreamHandler_ESTest.java:20:1:20:26                                    |
| import Duration                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/TutorialTest.java:22:1:22:26                                                |
| import Duration                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/Watchdog_ESTest.java:12:1:12:26                                             |
| import Duration                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/test/java/org/apache/commons/exec/issues/Exec49Test.java:23:1:23:26                                           |
| import Instant                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java:21:1:21:25                                 |
| import Instant                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/PumpStreamHandler.java:25:1:25:25                                           |
| import Supplier                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecutor.java:25:1:25:35                                             |
| import Supplier                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/ExecuteWatchdog.java:24:1:24:35                                             |
| import Supplier                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/Watchdog.java:23:1:23:35                                                    |
| import Map                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:23:1:23:21                                                 |
| import Map                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecutor.java:22:1:22:21                                             |
| import Map                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/Executor.java:22:1:22:21                                                    |
| import Map                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/environment/EnvironmentUtils.java:21:1:21:21                                |
| import Map                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/environment/DefaultProcessingEnvironment.java:23:1:23:21                    |
| import Map                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/CommandLauncher.java:22:1:22:21                                    |
| import Map                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/CommandLauncherImpl.java:22:1:22:21                                |
| import Map                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/CommandLauncherProxy.java:21:1:21:21                               |
| import Map                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/OS2CommandLauncher.java:22:1:22:21                                 |
| import Map                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/Java13CommandLauncher.java:22:1:22:21                              |
| import Map                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/VmsCommandLauncher.java:26:1:26:21                                 |
| import Map                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/util/MapUtils.java:21:1:21:21                                               |
| import Map                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-exec/src/main/java/org/apache/commons/exec/launcher/WinNTCommandLauncher.java:22:1:22:21                               |
