| BinaryEncoderAbstractTest            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/BinaryEncoderAbstractTest.java:25:23:25:47                   | testEncodeNull                                                                           | public       | void                       | V                                                              | testEncodeNull()                                                                           | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/BinaryEncoderAbstractTest.java:36:17:36:30                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/BinaryEncoderAbstractTest.java:36:51:43:5                    |
| EncoderExceptionTest                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/EncoderExceptionTest.java:26:14:26:33                        | testConstructorStringThrowable                                                           | public       | void                       | V                                                              | testConstructorStringThrowable()                                                           | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/EncoderExceptionTest.java:47:17:47:46                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/EncoderExceptionTest.java:47:50:51:5                         |
| EncoderExceptionTest                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/EncoderExceptionTest.java:26:14:26:33                        | testConstructorString                                                                    | public       | void                       | V                                                              | testConstructorString()                                                                    | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/EncoderExceptionTest.java:40:17:40:37                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/EncoderExceptionTest.java:40:41:44:5                         |
| EncoderExceptionTest                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/EncoderExceptionTest.java:26:14:26:33                        | testConstructor0                                                                         | public       | void                       | V                                                              | testConstructor0()                                                                         | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/EncoderExceptionTest.java:33:17:33:32                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/EncoderExceptionTest.java:33:36:37:5                         |
| StringEncoderAbstractTest            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderAbstractTest.java:26:23:26:47                   | testLocaleIndependence                                                                   | public       | void                       | V                                                              | testLocaleIndependence()                                                                   | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderAbstractTest.java:85:17:85:38                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderAbstractTest.java:85:59:116:5                   |
| StringEncoderAbstractTest            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderAbstractTest.java:26:23:26:47                   | testEncodeWithInvalidObject                                                              | public       | void                       | V                                                              | testEncodeWithInvalidObject()                                                              | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderAbstractTest.java:71:17:71:43                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderAbstractTest.java:71:64:82:5                    |
| StringEncoderAbstractTest            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderAbstractTest.java:26:23:26:47                   | testEncodeNull                                                                           | public       | void                       | V                                                              | testEncodeNull()                                                                           | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderAbstractTest.java:62:17:62:30                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderAbstractTest.java:62:51:68:5                    |
| StringEncoderAbstractTest            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderAbstractTest.java:26:23:26:47                   | testEncodeEmpty                                                                          | public       | void                       | V                                                              | testEncodeEmpty()                                                                          | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderAbstractTest.java:54:17:54:31                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderAbstractTest.java:54:52:59:5                    |
| StringEncoderComparator              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/StringEncoderComparator.java:30:14:30:36                     | compare                                                                                  | public       | int                        | I                                                              | compare(Object, Object)                                                                    | Override         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/StringEncoderComparator.java:68:16:68:22                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/StringEncoderComparator.java:68:58:83:5                      |
| StringEncoderComparator              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/StringEncoderComparator.java:30:14:30:36                     | StringEncoderComparator                                                                  | public       | void                       | V                                                              | StringEncoderComparator(int, StringEncoder)                                                | Deprecated       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/StringEncoderComparator.java:42:12:42:34                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/StringEncoderComparator.java:42:90:48:5                      |
| StringEncoderComparatorTest          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java:31:14:31:40                 | testComparatorWithDoubleMetaphoneAndInvalidInput                                         | public       | void                       | V                                                              | testComparatorWithDoubleMetaphoneAndInvalidInput()                                         | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java:69:17:69:64                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java:69:85:79:5                  |
| StringEncoderComparatorTest          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java:31:14:31:40                 | testComparatorWithDoubleMetaphone                                                        | public       | void                       | V                                                              | testComparatorWithDoubleMetaphone()                                                        | SuppressWarnings | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java:47:17:47:49                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java:47:70:66:5                  |
| StringEncoderComparatorTest          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java:31:14:31:40                 | testComparatorWithDoubleMetaphone                                                        | public       | void                       | V                                                              | testComparatorWithDoubleMetaphone()                                                        | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java:47:17:47:49                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java:47:70:66:5                  |
| StringEncoderComparatorTest          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java:31:14:31:40                 | testComparatorWithSoundex                                                                | public       | void                       | V                                                              | testComparatorWithSoundex()                                                                | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java:34:17:34:41                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/StringEncoderComparatorTest.java:34:62:43:5                  |
| AllocateDirectHexTest                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/AllocateDirectHexTest.java:22:14:22:34                | allocate                                                                                 | protected    | ByteBuffer                 | Ljava/nio/ByteBuffer;                                          | allocate(int)                                                                              | Override         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/AllocateDirectHexTest.java:25:26:25:33                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/AllocateDirectHexTest.java:25:55:27:5                 |
| HexTest                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/HexTest.java:40:14:40:20                              | testRequiredCharset                                                                      | public       | void                       | V                                                              | testRequiredCharset()                                                                      | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/HexTest.java:673:17:673:35                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/HexTest.java:673:93:680:5                             |
| HexTest                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/HexTest.java:40:14:40:20                              | testGetCharsetName                                                                       | public       | void                       | V                                                              | testGetCharsetName()                                                                       | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/HexTest.java:666:17:666:34                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/HexTest.java:666:38:670:5                             |
| HexTest                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/HexTest.java:40:14:40:20                              | testGetCharset                                                                           | public       | void                       | V                                                              | testGetCharset()                                                                           | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/HexTest.java:660:17:660:30                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/HexTest.java:660:34:663:5                             |
| HexTest                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/HexTest.java:40:14:40:20                              | testEncodeStringEmpty                                                                    | public       | void                       | V                                                              | testEncodeStringEmpty()                                                                    | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/HexTest.java:655:17:655:37                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/binary/HexTest.java:655:65:657:5                             |
