| CreditCardValidator           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:12:84:30                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:45:103:5                              | CreditCardValidator(int)                                           |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:32:84:42                               | isOn(...)                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:88:13:88:24                              |
| CreditCardValidator           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:12:84:30                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:45:103:5                              | CreditCardValidator(int)                                           |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:32:84:42                               | new Amex(...)                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:93:32:93:41                              |
| CreditCardValidator           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:12:84:30                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:45:103:5                              | CreditCardValidator(int)                                           |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:32:84:42                               | new Mastercard(...)               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:97:32:97:47                              |
| CreditCardValidator           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:12:84:30                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:45:103:5                              | CreditCardValidator(int)                                           |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:32:84:42                               | new Discover(...)                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:101:32:101:45                            |
| CreditCardValidator           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:12:84:30                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:45:103:5                              | CreditCardValidator(int)                                           |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:84:32:84:42                               | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:85:9:85:16                               |
| CreditCardValidatorTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:40:12:40:34                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:40:49:42:5                           | CreditCardValidatorTest(String)                                    |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:40:36:40:46                           | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:41:9:41:20                           |
| CustomValidatorResourcesTest  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:37:12:37:39                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:37:54:39:5                      | CustomValidatorResourcesTest(String)                               |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:37:41:37:51                      | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:38:9:38:20                      |
| FieldTest                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/FieldTest.java:33:12:33:20                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/FieldTest.java:33:35:35:5                                         | FieldTest(String)                                                  |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/FieldTest.java:33:22:33:32                                         | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/FieldTest.java:34:9:34:20                                         |
| GenericValidatorTest          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/GenericValidatorTest.java:31:12:31:31                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/GenericValidatorTest.java:31:46:33:5                              | GenericValidatorTest(String)                                       |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/GenericValidatorTest.java:31:33:31:43                              | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/GenericValidatorTest.java:32:9:32:20                              |
| ISBNValidatorTest             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ISBNValidatorTest.java:38:12:38:28                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ISBNValidatorTest.java:38:43:40:5                                 | ISBNValidatorTest(String)                                          |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ISBNValidatorTest.java:38:30:38:40                                 | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ISBNValidatorTest.java:39:9:39:20                                 |
| ResultPair                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ResultPair.java:30:12:30:21                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ResultPair.java:30:51:33:5                                        | ResultPair(String, boolean)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ResultPair.java:30:23:30:33                                        | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ResultPair.java:30:12:30:21                                       |
| ResultPair                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ResultPair.java:30:12:30:21                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ResultPair.java:30:51:33:5                                        | ResultPair(String, boolean)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ResultPair.java:30:36:30:48                                        | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ResultPair.java:30:12:30:21                                       |
| UrlTest                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/UrlTest.java:36:12:36:18                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/UrlTest.java:36:37:38:5                                           | UrlTest(String)                                                    |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/UrlTest.java:36:20:36:34                                           | <obinit>(...)                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/UrlTest.java:36:12:36:18                                          |
| UrlTest                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/UrlTest.java:36:12:36:18                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/UrlTest.java:36:37:38:5                                           | UrlTest(String)                                                    |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/UrlTest.java:36:20:36:34                                           | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/UrlTest.java:37:9:37:24                                           |
| UrlValidator                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:56:175:5                                    | UrlValidator(String[], int)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:25:163:40                                    | asList(...)                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:174:36:174:57                                   |
| UrlValidator                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:56:175:5                                    | UrlValidator(String[], int)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:25:163:40                                    | addAll(...)                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:174:9:174:58                                    |
| UrlValidator                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:56:175:5                                    | UrlValidator(String[], int)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:25:163:40                                    | isOn(...)                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:166:13:166:48                                   |
| UrlValidator                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:56:175:5                                    | UrlValidator(String[], int)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:25:163:40                                    | <obinit>(...)                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                   |
| UrlValidator                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:56:175:5                                    | UrlValidator(String[], int)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:25:163:40                                    | new Flags(...)                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:164:24:164:44                                   |
| UrlValidator                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:56:175:5                                    | UrlValidator(String[], int)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:25:163:40                                    | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                   |
| UrlValidator                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:56:175:5                                    | UrlValidator(String[], int)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:43:163:53                                    | asList(...)                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:174:36:174:57                                   |
| UrlValidator                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:56:175:5                                    | UrlValidator(String[], int)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:43:163:53                                    | addAll(...)                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:174:9:174:58                                    |
| UrlValidator                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:56:175:5                                    | UrlValidator(String[], int)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:43:163:53                                    | isOn(...)                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:166:13:166:48                                   |
| UrlValidator                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:56:175:5                                    | UrlValidator(String[], int)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:43:163:53                                    | <obinit>(...)                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                   |
| UrlValidator                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:56:175:5                                    | UrlValidator(String[], int)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:43:163:53                                    | new Flags(...)                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:164:24:164:44                                   |
| UrlValidator                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:56:175:5                                    | UrlValidator(String[], int)                                        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:43:163:53                                    | super(...)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:163:12:163:23                                   |
