| import BufferedReader              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/ValidatorAction.java:22:1:22:30                                             |
| import ByteArrayOutputStream       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/checkdigit/AbstractCheckDigitTest.java:25:1:25:37                  |
| import Closeable                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DomainValidatorTest.java:24:1:24:25                                |
| import File                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DomainValidatorTest.java:25:1:25:20                                |
| import URI                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/UrlValidator.java:20:1:20:20                                       |
| import URI                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/UrlValidatorTest.java:25:1:25:20                                   |
| import URL                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DomainValidatorTest.java:34:1:34:20                                |
| import FileOutputStream            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DomainValidatorTest.java:26:1:26:32                                |
| import FileReader                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DomainValidatorTest.java:27:1:27:26                                |
| import InputStreamReader           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/ValidatorAction.java:25:1:25:33                                             |
| import InputStreamReader           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/checkdigit/IBANCheckDigitTest.java:22:1:22:33                      |
| import ObjectInputStream           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/AbstractCalendarValidatorTest.java:23:1:23:33                      |
| import ObjectInputStream           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/AbstractNumberValidatorTest.java:23:1:23:33                        |
| import ObjectInputStream           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/checkdigit/AbstractCheckDigitTest.java:26:1:26:33                  |
| import ObjectOutputStream          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/AbstractCalendarValidatorTest.java:24:1:24:34                      |
| import ObjectOutputStream          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/AbstractNumberValidatorTest.java:24:1:24:34                        |
| import ObjectOutputStream          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/checkdigit/AbstractCheckDigitTest.java:27:1:27:34                  |
| import Map                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/Field.java:26:1:26:21                                                       |
| import Map                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/FormSet.java:26:1:26:21                                                     |
| import Map                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/Validator.java:21:1:21:21                                                   |
| import Map                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/ValidatorAction.java:32:1:32:21                                             |
| import Map                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:23:1:23:21                                             |
| import Map                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResults.java:23:1:23:21                                            |
| import Map                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/IBANValidator.java:22:1:22:21                                      |
| import Map                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/util/ValidatorUtils.java:27:1:27:21                                         |
| import Map                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/Field_ESTest.java:27:1:27:21                                                |
| import Map                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ValidatorResult_ESTest.java:26:1:26:21                                      |
| import Map                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ValidatorResults_ESTest.java:25:1:25:21                                     |
| import Map                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DomainValidatorTest.java:41:1:41:21                                |
| import Field                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/Field_ESTest.java:29:1:29:42                                                |
| import Field                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/Form_ESTest.java:27:1:27:42                                                 |
| import Field                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ValidatorResult_ESTest.java:27:1:27:42                                      |
| import Field                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/ValidatorResults_ESTest.java:27:1:27:42                                     |
| import Field                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DomainValidatorTest.java:30:1:30:31                                |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/DateValidator.java:22:1:22:24                                               |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/GenericTypeValidator.java:29:1:29:24                                        |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/GenericValidator.java:25:1:25:24                                            |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:23:1:23:24                                          |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/AbstractCalendarValidator.java:24:1:24:24                          |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/AbstractFormatValidator.java:22:1:22:24                            |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/AbstractNumberValidator.java:23:1:23:24                            |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/BigDecimalValidator.java:22:1:22:24                                |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/ByteValidator.java:20:1:20:24                                      |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/BigIntegerValidator.java:21:1:21:24                                |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/CalendarValidator.java:22:1:22:24                                  |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/DateValidator.java:23:1:23:24                                      |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/DomainValidator.java:23:1:23:24                                    |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/DoubleValidator.java:20:1:20:24                                    |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/FloatValidator.java:20:1:20:24                                     |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/ISINValidator.java:23:1:23:24                                      |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/IntegerValidator.java:20:1:20:24                                   |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/LongValidator.java:20:1:20:24                                      |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/ShortValidator.java:20:1:20:24                                     |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/TimeValidator.java:22:1:22:24                                      |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/UrlValidator.java:24:1:24:24                                       |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/DateValidator_ESTest.java:25:1:25:24                                        |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/GenericValidator_ESTest.java:25:1:25:24                                     |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/AbstractCalendarValidatorTest.java:27:1:27:24                      |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/AbstractCalendarValidator_ESTest.java:35:1:35:24                   |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/AbstractFormatValidator_ESTest.java:31:1:31:24                     |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/AbstractNumberValidatorTest.java:27:1:27:24                        |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/AbstractNumberValidator_ESTest.java:28:1:28:24                     |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/BigDecimalValidatorTest.java:20:1:20:24                            |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/BigDecimalValidator_ESTest.java:28:1:28:24                         |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/BigIntegerValidatorTest.java:20:1:20:24                            |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/BigIntegerValidator_ESTest.java:28:1:28:24                         |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/ByteValidatorTest.java:19:1:19:24                                  |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/ByteValidator_ESTest.java:27:1:27:24                               |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/CalendarValidatorTest.java:23:1:23:24                              |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/CalendarValidator_ESTest.java:30:1:30:24                           |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/CurrencyValidatorTest.java:23:1:23:24                              |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/CurrencyValidator_ESTest.java:30:1:30:24                           |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DateValidatorTest.java:21:1:21:24                                  |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DateValidator_ESTest.java:32:1:32:24                               |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DomainValidatorTest.java:40:1:40:24                                |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DoubleValidatorTest.java:19:1:19:24                                |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DoubleValidator_ESTest.java:26:1:26:24                             |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/FloatValidatorTest.java:20:1:20:24                                 |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/FloatValidator_ESTest.java:27:1:27:24                              |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/IntegerValidatorTest.java:19:1:19:24                               |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/IntegerValidator_ESTest.java:26:1:26:24                            |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/LongValidatorTest.java:19:1:19:24                                  |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/LongValidator_ESTest.java:26:1:26:24                               |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/PercentValidatorTest.java:22:1:22:24                               |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/PercentValidator_ESTest.java:29:1:29:24                            |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/ShortValidatorTest.java:19:1:19:24                                 |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/ShortValidator_ESTest.java:27:1:27:24                              |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/TimeValidatorTest.java:23:1:23:24                                  |
| import Locale                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/TimeValidator_ESTest.java:28:1:28:24                               |
| import List                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/Field.java:25:1:25:22                                                       |
| import List                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/Form.java:23:1:23:22                                                        |
| import List                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/ValidatorAction.java:31:1:31:22                                             |
| import List                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/CreditCardValidator.java:25:1:25:22                                |
| import List                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/DomainValidator.java:22:1:22:22                                    |
| import List                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/main/java/org/apache/commons/validator/routines/InetAddressValidator.java:23:1:23:22                               |
| import List                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/Form_ESTest.java:26:1:26:22                                                 |
| import List                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DomainValidatorStartupTest.java:27:1:27:22                         |
| import List                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/DomainValidator_ESTest.java:26:1:26:22                             |
| import List                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/EmailValidatorTest.java:27:1:27:22                                 |
| import List                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/UrlValidatorTest.java:28:1:28:22                                   |
| import List                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-validator/src/test/java/org/apache/commons/validator/routines/checkdigit/AbstractCheckDigitTest.java:29:1:29:22                  |
