| CreditCardType | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:185:22:185:35          | matches   | matches(String)   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:197:17:197:23          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:197:17:197:23          |
| Amex                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:211:26:211:29                             | Amex                                           | Amex()                                                                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:211:26:211:29                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:211:26:211:29                             |
| Amex                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:211:26:211:29                             | <clinit>                                       | <clinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:211:26:211:29                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:211:26:211:29                             |
| CreditCardValidator                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:48:14:48:32                               | luhnCheck                                      | luhnCheck(String)                                                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:155:23:155:31                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:155:52:177:5                              |
| CreditCardValidator                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:48:14:48:32                               | addAllowedCardType                             | addAllowedCardType(CreditCardType)                                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:145:17:145:34                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:145:57:147:5                              |
| CreditCardValidator                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:48:14:48:32                               | isValid                                        | isValid(String)                                                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:120:20:120:26                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:120:41:137:5                              |
| CreditCardValidator                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:48:14:48:32                               | CreditCardValidator1                           | CreditCardValidator1()                                                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:103:39:103:58                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:103:62:105:5                              |
| CreditCardValidator                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:48:14:48:32                               | CreditCardValidator                            | CreditCardValidator(int)                                                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:82:12:82:30                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:82:45:101:5                               |
| CreditCardValidator                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:48:14:48:32                               | <obinit>                                       | <obinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:48:14:48:32                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:48:14:48:32                               |
| CreditCardValidator                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:48:14:48:32                               | <clinit>                                       | <clinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:48:14:48:32                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:48:14:48:32                               |
| Discover                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:221:26:221:33                             | matches                                        | matches(String)                                                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:225:24:225:30                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:225:45:227:9                              |
| Discover                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:221:26:221:33                             | Discover                                       | Discover()                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:221:26:221:33                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:221:26:221:33                             |
| Discover                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:221:26:221:33                             | <clinit>                                       | <clinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:221:26:221:33                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:221:26:221:33                             |
| Mastercard                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:230:26:230:35                             | matches                                        | matches(String)                                                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:234:24:234:30                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:234:45:237:9                              |
| Mastercard                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:230:26:230:35                             | Mastercard                                     | Mastercard()                                                                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:230:26:230:35                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:230:26:230:35                             |
| Mastercard                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:230:26:230:35                             | <clinit>                                       | <clinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:230:26:230:35                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:230:26:230:35                             |
| Visa                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:201:26:201:29                             | matches                                        | matches(String)                                                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:205:24:205:30                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:205:45:208:9                              |
| Visa                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:201:26:201:29                             | Visa                                           | Visa()                                                                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:201:26:201:29                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:201:26:201:29                             |
| Visa                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:201:26:201:29                             | <clinit>                                       | <clinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:201:26:201:29                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:201:26:201:29                             |
| DinersClub                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:73:19:73:28                           | matches                                        | matches(String)                                                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:77:24:77:30                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:77:45:80:9                            |
| DinersClub                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:73:19:73:28                           | DinersClub                                     | DinersClub()                                                                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:73:19:73:28                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:73:19:73:28                           |
| DinersClub                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:73:19:73:28                           | <clinit>                                       | <clinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:73:19:73:28                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:73:19:73:28                           |
| CreditCardValidatorTest                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:28:14:28:36                           | testAddAllowedCardType                         | testAddAllowedCardType()                                                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:61:17:61:38                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:61:42:70:5                            |
| CreditCardValidatorTest                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:28:14:28:36                           | testIsValid                                    | testIsValid()                                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:42:17:42:27                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:42:31:59:5                            |
| CreditCardValidatorTest                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:28:14:28:36                           | CreditCardValidatorTest                        | CreditCardValidatorTest(String)                                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:38:12:38:34                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:38:49:40:5                            |
| CreditCardValidatorTest                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:28:14:28:36                           | <clinit>                                       | <clinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:28:14:28:36                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CreditCardValidatorTest.java:28:14:28:36                           |
| CustomValidatorResourcesTest               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:28:14:28:41                      | testCustomResources                            | testCustomResources()                                                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:48:17:48:35                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:48:39:62:5                       |
| CustomValidatorResourcesTest               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:28:14:28:41                      | tearDown                                       | tearDown()                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:45:20:45:27                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:45:31:45:32                      |
| CustomValidatorResourcesTest               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:28:14:28:41                      | setUp                                          | setUp()                                                                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:41:20:41:24                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:41:28:41:29                      |
| CustomValidatorResourcesTest               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:28:14:28:41                      | CustomValidatorResourcesTest                   | CustomValidatorResourcesTest(String)                                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:35:12:35:39                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/test/java/org/apache/commons/validator/CustomValidatorResourcesTest.java:35:54:37:5                       |
| DateValidator                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/DateValidator.java:35:14:35:26                                     | isValid1                                       | isValid1(String, Locale)                                                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/DateValidator.java:97:20:97:27                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/DateValidator.java:97:58:119:5                                     |
| DateValidator                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/DateValidator.java:35:14:35:26                                     | isValid0                                       | isValid0(String, String, boolean)                                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/DateValidator.java:65:20:65:27                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/DateValidator.java:65:79:86:5                                      |
| DateValidator                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/DateValidator.java:35:14:35:26                                     | DateValidator                                  | DateValidator()                                                                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/DateValidator.java:50:15:50:27                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-validator/src/main/java/org/apache/commons/validator/DateValidator.java:50:31:52:5                                      |
