| Builder                                                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:164:25:164:31            | CSVFormat              |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:117:17:117:92        | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:122:54:122:82        | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:713:17:713:96        | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:721:17:721:80        | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:728:17:733:40        | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:741:17:744:75        | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:762:58:762:96        | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:973:17:973:95        | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:981:17:981:79        | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:988:17:993:40        | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:1001:17:1001:98      | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:1008:17:1008:91      | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:1016:17:1016:74      | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:1023:17:1023:93      | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:1031:17:1031:76      | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:1292:49:1292:94      | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:1303:54:1303:94      | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:1328:54:1328:92      | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:107:45:107:69        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java:1518:54:1518:91      | CSVFormatTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:297:45:297:69        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:734:54:734:94        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:745:63:745:78        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:754:56:754:69        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:864:45:864:95        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:870:45:870:98        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:894:17:898:37        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:905:17:905:96        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:912:17:912:96        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:919:17:919:72        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:926:17:926:95        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:933:17:935:95        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:941:45:941:96        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:948:17:952:37        | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:1012:17:1012:81      | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:1015:17:1015:86      | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:1018:17:1018:87      | CSVParserTest          |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVPrinterTest.java:547:54:547:94       | CSVPrinterTest         |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVPrinterTest.java:822:50:822:95       | CSVPrinterTest         |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVPrinterTest.java:827:50:827:94       | CSVPrinterTest         |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/LexerTest.java:50:45:50:78              | LexerTest              |
| new Executable(...) { ... }                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/IOUtilsTest.java:30:48:30:87            | IOUtilsTest            |
| new Consumer<CSVRecord>(...) { ... }                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/CSVParserTest.java:114:24:114:48        | CSVParserTest          |
| new Consumer<CSVRecord>(...) { ... }                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv249Test.java:48:17:51:17  | JiraCsv249Test         |
| new CSVParserFactory(...) { ... }                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java:304:27:304:76      | PerformanceTest        |
| new CSVParserFactory(...) { ... }                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java:310:17:314:39      | PerformanceTest        |
| new CSVParserFactory(...) { ... }                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java:320:17:324:39      | PerformanceTest        |
| new CSVParserFactory(...) { ... }                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java:343:17:345:94      | PerformanceTest        |
| new Function<CSVRecord,List<String>>(...) { ... }                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv290Test.java:45:57:45:73  | JiraCsv290Test         |
