| BaseKeyedPooledObjectFactory                                | validateObject                       | key                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/BaseKeyedPooledObjectFactory.java:96:20:96:33               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/BaseKeyedPooledObjectFactory.java:96:73:98:5               |
| BasePooledObjectFactory                                     | validateObject                       | p                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:85:20:85:33                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:85:60:87:5                    |
| BasePooledObjectFactory                                     | passivateObject                      | p                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:76:17:76:31                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:76:75:76:76                   |
| BasePooledObjectFactory                                     | destroyObject0                       | p                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:63:17:63:30                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:63:74:63:75                   |
| BasePooledObjectFactory                                     | activateObject                       | p                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:44:17:44:30                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/BasePooledObjectFactory.java:44:74:44:75                   |
| MethodCall                                                  | setReturned                          | returned                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:126:17:126:27                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:126:52:128:5                               |
| MethodCall                                                  | returned                             | obj                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:121:23:121:30                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:121:50:124:5                               |
| MethodCall                                                  | equals                               | o                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:81:20:81:25                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:81:43:98:5                                 |
| MethodCall                                                  | MethodCall3                          | name                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:76:30:76:40                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:76:61:78:5                                 |
| MethodCall                                                  | MethodCall1                          | name                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:72:30:72:40                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:72:81:74:5                                 |
| MethodCall                                                  | MethodCall1                          | param                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:72:30:72:40                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:72:81:74:5                                 |
| MethodCall                                                  | MethodCall0                          | name                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:67:30:67:40                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:68:74:70:5                                 |
| MethodCall                                                  | MethodCall0                          | param1                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:67:30:67:40                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:68:74:70:5                                 |
| MethodCall                                                  | MethodCall0                          | param2                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:67:30:67:40                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:68:74:70:5                                 |
| MethodCall                                                  | MethodCall                           | constructorId                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:35:12:35:21                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:41:33:65:5                                 |
| MethodCall                                                  | MethodCall                           | param2                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:35:12:35:21                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:41:33:65:5                                 |
| MethodCall                                                  | MethodCall                           | params                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:35:12:35:21                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:41:33:65:5                                 |
| MethodCall                                                  | MethodCall                           | param1                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:35:12:35:21                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:41:33:65:5                                 |
| MethodCall                                                  | MethodCall                           | name                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:35:12:35:21                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:41:33:65:5                                 |
| MethodCall                                                  | MethodCall                           | param                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:35:12:35:21                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:41:33:65:5                                 |
| MethodCallPoolableObjectFactory                             | validateObject                       | obj                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:134:20:134:33          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:134:67:143:5          |
| MethodCallPoolableObjectFactory                             | setValidateObjectFail                | validateObjectFail               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:130:17:130:37          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:130:73:132:5          |
| MethodCallPoolableObjectFactory                             | setValid                             | valid                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:126:17:126:24          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:126:47:128:5          |
| MethodCallPoolableObjectFactory                             | setPassivateObjectFail               | passivateObjectFail              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:122:17:122:38          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:122:75:124:5          |
| MethodCallPoolableObjectFactory                             | setMakeObjectFail                    | makeObjectFail                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:118:17:118:33          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:118:65:120:5          |
| MethodCallPoolableObjectFactory                             | setDestroyObjectFail                 | destroyObjectFail                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:114:17:114:36          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:114:71:116:5          |
| MethodCallPoolableObjectFactory                             | setCurrentCount                      | count                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:110:17:110:31          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:110:50:112:5          |
| MethodCallPoolableObjectFactory                             | setActivateObjectFail                | activateObjectFail               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:106:17:106:37          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:106:73:108:5          |
| MethodCallPoolableObjectFactory                             | passivateObject                      | obj                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:88:17:88:31            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:88:82:93:5            |
| MethodCallPoolableObjectFactory                             | destroyObject                        | obj                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:49:17:49:29            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:49:80:54:5            |
| MethodCallPoolableObjectFactory                             | activateObject                       | obj                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:42:17:42:30            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:42:81:47:5            |
| PooledFooFactory                                            | validateObject                       | pooledObject                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/PoolTest.java:39:24:39:37                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/PoolTest.java:39:77:46:9                                   |
| PooledFooFactory                                            | passivateObject                      | pooledObject                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/PoolTest.java:37:21:37:35                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/PoolTest.java:37:92:37:93                                  |
| PooledFooFactory                                            | destroyObject                        | pooledObject                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/PoolTest.java:35:21:35:33                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/PoolTest.java:35:90:35:91                                  |
| PooledFooFactory                                            | activateObject                       | pooledObject                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/PoolTest.java:33:21:33:34                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/PoolTest.java:33:91:33:92                                  |
| ErodingFactor                                               | update                               | nowMillis                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:99:21:99:26                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:99:69:105:9                                 |
| ErodingFactor                                               | update                               | numIdle                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:99:21:99:26                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:99:69:105:9                                 |
| ErodingFactor                                               | ErodingFactor                        | factor                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:66:16:66:28                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:66:50:71:9                                  |
| PoolUtils                                                   | synchronizedPooledFactory            | factory                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1533:46:1533:70                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1534:51:1536:5                              |
| PoolUtils                                                   | synchronizedPool1                    | pool                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1506:37:1506:53                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1506:81:1523:5                              |
| PoolUtils                                                   | synchronizedPool0                    | keyedPool                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1479:48:1479:64                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1480:52:1491:5                              |
| PoolUtils                                                   | synchronizedKeyedPooledFactory       | keyedFactory                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1461:57:1461:86                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1462:64:1464:5                              |
| PoolUtils                                                   | prefill2                             | pool                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1443:28:1443:35                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1444:56:1449:5                              |
| PoolUtils                                                   | prefill2                             | count                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1443:28:1443:35                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1444:56:1449:5                              |
| PoolUtils                                                   | prefill1                             | keyedPool                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1423:31:1423:38                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1425:56:1430:5                              |
| PoolUtils                                                   | prefill1                             | key                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1423:31:1423:38                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1425:56:1430:5                              |
| PoolUtils                                                   | prefill1                             | count                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1423:31:1423:38                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1425:56:1430:5                              |
| PoolUtils                                                   | prefill0                             | keyedPool                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1400:31:1400:38                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1402:56:1407:5                              |
| PoolUtils                                                   | prefill0                             | keys                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1400:31:1400:38                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1402:56:1407:5                              |
| PoolUtils                                                   | prefill0                             | count                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1400:31:1400:38                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1402:56:1407:5                              |
| PoolUtils                                                   | erodingPool4                         | pool                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1364:37:1364:48                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1364:96:1372:5                              |
| PoolUtils                                                   | erodingPool4                         | factor                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1364:37:1364:48                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1364:96:1372:5                              |
| PoolUtils                                                   | erodingPool3                         | pool                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1340:37:1340:48                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1340:76:1342:5                              |
| PoolUtils                                                   | erodingPool2                         | keyedPool                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1314:48:1314:59                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1315:94:1326:5                              |
| PoolUtils                                                   | erodingPool2                         | factor                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1314:48:1314:59                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1315:94:1326:5                              |
| PoolUtils                                                   | erodingPool2                         | perKey                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1314:48:1314:59                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1315:94:1326:5                              |
| PoolUtils                                                   | erodingPool1                         | keyedPool                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1281:48:1281:59                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1282:72:1284:5                              |
| PoolUtils                                                   | erodingPool1                         | factor                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1281:48:1281:59                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1282:72:1284:5                              |
